,Location,Min Delay,delay_count
224,Kenendy Stn,10,
225,Caledonia & Eglinton,10,
226,Finch Station to all Branches,1,
227,Islington Station,12,
228,Kingston Road Route,15,
229,Wilson Heights,15,
230,Don Mills Station,7,
231,FSTN,4,
232,Bloor at Sherbourne,7,
233,Crossland and Pharmacy,10,
234,STC,5,
235,Entire route,10,
236,Entire route,10,
237,Entire route,20,
238,Summerhill at Macleanen,20,
239,FSTN,4,
240,Vic Park Station,15,
241,Don Mills Station,7,
242,FSTN,4,
243,Albion,7,
244,Dufferin/Steeles,32,
245,York University Commons,11,
246,St.Clair Station,8,
247,Birchmount garage,6,
248,Downsview Stn,4,
249,Bishop Allen School,5,
250,MCNICOLL / VICTORIA PARK,15,
251,Neil Mcneil high school,7,
252,Bathurst Route,25,
253,Midland Route,12,
254,Cherry & Villars,20,
255,Woodbine Downs,13,
256,Lawrance and Warden,13,
257,MAIN STATION,23,
258,Dufferin / Steeles,32,
259,Kennedy Stn,10,
260,Steeles Loop,13,
261,Westway/Kipling,6,
262,Steeles,10,
263,Etobicoke School of Arts,11,
264,Medawvale & Ellesmere,60,
265,Martin Grove and Egglington,10,
266,Eglinton stn,15,
267,kennedy Stn,20,
268,Jarvis at Queens Quay,7,
269,Lawrance RT station,10,
270,Main Station,5,
271,Lawrence west stn,11,
272,Don Mills Stn,10,
273,York Blvd/Ian McDonald,11,
274,Royal crest,4,
275,Pape Station,4,
276,Steeles to Davisville,12,
277,Davisville stn,12,
278,Entire Route,30,
279,Finch ave,20,
280,On Lansdowne from Wallace ave to Bloor,50,
281,Downsview station,11,
282,Victoria Park Stn,14,
283,Keele and Grabrevin,9,
284,Warden stn.,11,
285,Kingston Road & Warden,13,
286,Kingston Road & Warden,15,
287,Lawrence Station,6,
288,Brentcliffe and Eglinton,23,
289,Entire Route,25,
290,Bombay loop to Chruch and Richmond,15,
291,Weston Rd @ Finch W,10,
292,Davisville stn,12,
293,Wilson,9,
294,Jarvis at Queens Quay,7,
295,Yonge and Eglinton,20,
296,Markham rd and Greencrest,11,
297,Cosburn,5,
298,191 HWY routing,15,
299,Entire Route,20,
300,Steeles and Markham Rd.,13,
301,Davisville stn,6,
302,Dundas West station,8,
303,"O,Connor and woodbine",16,
304,Bradstock/Weston.,11,
305,Lakeshore at Mimico,5,
306,Lakeshore at Mimico,1,
307,ELRT,5,
308,Mortimer Route,15,
309,Dawes Rd Route,10,
310,Warden stn.,22,
311,Bay and Front,15,
312,Bradstock/Weston,11,
313,FSTN to STC,15,
314,Steeles and Willowdale,5,
315,Fresh Meadow and Don Mills,3,
316,Milady and Islington,10,
317,Downsview Station,3,
318,Sheppard/Jane,22,
319,Markham Rd & Ellesmere,7,
320,Downsview Station,4,
321,Martin Drove and Tollington,13,
322,Kipling stn,9,
323,Weston rd / St.Phillips rd,9,
324,Eglinton West stn,5,
325,Eglinton stn,5,
326,islington and Rxdale,19,
327,St.George stn,1,
328,Angus Glen,14,
329,Main Stn,20,
330,Finch Station,4,
331,Warden Stn,11,
332,Main Stn,10,
333,Cherry & Commissioner,8,
334,Weston rd / Walsh,8,
335,Winter Ave / Danforth Rd,180,
336,Pape station,6,
337,Jane & Sheppard,85,
338,Eglinton & Huntington,10,
339,Townsley Loop,24,
340,Davisville,27,
341,Lansdowne and Dundas,40,
342,Islington Ave. & Finch Ave West,8,
343,Progresss and McCowan,12,
344,Jane & Steeles,8,
345,Finch Ave and Cherokee,6,
346,Castle Frank Stn,10,
347,Pape Stn,9,
348,Broadview Station,10,
349,Broadview Stn,10,
350,Morningside & Military Trail,10,
351,Don Mills station,30,
352,Steeles And Bayview,30,
353,York U Commons,10,
354,Royal York stn,10,
355,Morningside and Staines,24,
356,Don Mills & St Dennis,12,
357,Exhibition Loop,150,
358,Guildwood and Pixley,60,
359,West Mall and Bloor,20,
360,Eglinton & Brimley,10,
361,Kennedy Stn,12,
362,Petrolia,13,
363,EGGA,1,
364,EGGA,1,
365,Mountcastle gate and Steeles,1,
366,Finch and Humberline,10,
367,Finchdene sq and Finch,1,
368,Dawes / Ferris rd.,12,
369,EGGA,1,
370,EGGA,4,
371,Bloor and Qeens Park,8,
372,Eglinton Yard,1,
373,STMO,6,
374,Scarborough College Loop,5,
375,Pape Station,5,
376,Warden Stn,7,
377,Arrow Road Garage,5,
378,Bathurst and Finch,20,
379,keele stn,11,
380,emmett,10,
381,Finch Station,10,
382,Arrow Road Garage,6,
383,York Mills Stn.,22,
384,Finch Station,5,
385,York Mills Stn.,12,
386,ENNERDALE AND EGLINTON,4,
387,Bedford and Dupont,8,
388,Passmore and Markham,5,
389,Faymore/Almore,13,
390,Eglinton Garage Yard,13,
391,Meadowvale loop,5,
392,Steeles to Kipling Station,15,
393,`Wilson Stn.,15,
394,Sheppard Stn,7,
395,McCowan and Nugget,2,
396,Albion rd and Weston,4,
397,Eglinton Station,5,
398,SARR,17,
399,OAK,9,
400,Victoria Park Route/ York Mills - Cassandra,15,
401,Birchmount Route,10,
402,Markham Road route,10,
403,Entire route,15,
404,York Commons,6,
405,Finch Station,7,
406,Davisville and Yonge,12,
407,Old Mill Station to Lakehore at Marine Parade,15,
408,Springhurst loop,8,
409,Dundas West Station to Avon Loop,15,
410,Entire 60 Steeles West Route,7,
411,Birchmount and Sheppard,8,
412,Downsview Stn,2,
413,Pharmacy North Route,13,
414,Entire Route,30,
415,York Mills Station - Kingston Rd Loop,1,
416,Eglinton W. stn to Bathurst and Neptune,15,
417,Wellesley Route,10,
418,Hwy 27 and Steeles,5,
419,KENN,12,
420,Davenport and Dupont,7,
421,Bayview and Eglinton and Leslie and 401,17,
422,Finch and Arrow Road.,12,
423,Main Stn,13,
424,St. Clair W. stn,4,
425,Sheppard Stn,12,
426,Springhurst loop,8,
427,Downsview Stn,10,
428,Victoria Park Stan,12,
429,Kingston Rd and Morningside,10,
430,Warden/401,4,
431,St Clair and Jane,3,
432,Downsview Stn,6,
433,York U / Commons,7,
434,Warden Stn,10,
435,Thistledown and Albion,29,
436,Route 26,15,
437,Lesmills / Leslie,15,
438,Rogers,4,
439,Kipling Station,6,
440,Oakwood & St Clair w,7,
