,Location,Min Delay,delay_count
982,Bayview,16,
983,Kennedy Station,4,
984,Kipling Station,15,
985,Concorde Place Cul de Sac,6,
986,Broadview stn.,5,
987,Ranee route,10,
988,Weston rd / Dora Spencer rd,7,
989,ELRT,9,
990,Grenoble - Deauville lane,6,
991,Kipling station,5,
992,Staines and Morningside,7,
993,WESTON RD and LAWRENCE,6,
994,Downsview Stn,2,
995,Main Stn,10,
996,Woodbine Stn,10,
997,Downsview Station,3,
998,St.Clair west station,5,
999,Lawrance RT station,10,
1000,191 HWY rocket route,16,
1001,Finch West route,16,
1002,Silver Hills route,20,
1003,Entire route,5,
1004,Carlaw & Lakeshore,10,
1005,Don mIlls,15,
1006,Bayview and Steeles Loop,25,
1007,Victoria Park Station,3,
1008,Progress and Markham Rd,12,
1009,Don Mills Stn,6,
1010,Don Mills,15,
1011,Downsview Station,4,
1012,Don Mills Stn,14,
1013,Sheppard,15,
1014,Kipling stn,11,
1015,Eglinton Station,12,
1016,Main Stn,10,
1017,Vaughan route,10,
1018,ENTIRE ROUTE,14,
1019,Victoria Park Stn,14,
1020,ROYALLEIGH & ROYAL YORK RD,20,
1021,Scarb Golf club abt Ellesmere,12,
1022,Yonge St at Athabaska,7,
1023,STC SRT,20,
1024,Neilson and Sheppard,7,
1025,ROYAL YORK STATION,5,
1026,Keneny Stn- Morninside & Kingtson,15,
1027,Van Horn at V.Park,10,
1028,Don Mills Stn,6,
1029,Keele stn.,30,
1030,Dundas and Shorncliffe,14,
1031,Kipling stn,20,
1032,Dundas and West mall,18,
1033,Eglinton Station,4,
1034,York U Commons,2,
1035,Steeles,10,
1036,Downsview Station,4,
1037,"Park Lane Circle, South of Lawrence.",1,
1038,Steeles and Redlea Av,5,
1039,Downsview Station,4,
1040,Castle Frank Stn,10,
1041,Kennedy Stn,11,
1042,Elfreda and St. Clair,10,
1043,Eglinton Stn.,24,
1044,Downsview Station,4,
1045,York Mills at Bayview,10,
1046,finch stn,3,
1047,Gateway & Don Mills,8,
1048,Dufferin and Croatia,8,
1049,Dufferin and Croatia,173,
1050,Croatia and Dufferin,5,
1051,davisville Stn.,15,
1052,finch and arrow,4,
1053,Ficnh ave East and Victoria Park,8,
1054,Wilson Stn,8,
1055,Yonge at Cummer,30,
1056,elmhurst and islington,20,
1057,Morningside and Ellesmere,10,
1058,jyonge and eglinton,4,
1059,Runnymede and Bloor,20,
1060,Runnymede and Bloor,20,
1061,Eglinton Garage,1,
1062,PETROLIA,13,
1063,EGGA,1,
1064,York Mills Station,10,
1065,Wilson and Transit Road,1,
1066,EGGA,1,
1067,Wilson stn,8,
1068,RUNNYMEDE AND BLOOR,80,
1069,Entire route,1,
1070,Jane / lambton,11,
1071,Eglinton Garage,1,
1072,SLPM,10,
1073,KENN,7,
1074,Keele and McNaughton,1020,
1075,Main stn.,4,
1076,York Mills Station,13,
1077,Simcoe and Richmond W/B,138,
1078,Bathurst and Steeles,8,
1079,Evans/Islington,40,
1080,Lqwrence west Stn.,12,
1081,Dundas St W and Shorncliffe Ave,112,
1082,Eglinton Garage,1,
1083,Richmond St and Duncan St.,1,
1084,Bayview and Steeles,13,
1085,Jane/Alliance,11,
1086,Bathurst and Neptune,17,
1087,Mt Dennis,4,
1088,Dufferin and Tycos,8,
1089,York Mills Station,1,
1090,Dufferin an Steeles,14,
1091,Maple leaf on Jane st,15,
1092,MAPLE LEAF ON JANE ST,68,
1093,Dufferin and Tycos,8,
1094,Eglinton and Kane,4,
1095,eglinton and oakwood,4,
1096,Finch Station,9,
1097,Maple leaf on Jane Str.,10,
1098,Warden Station,5,
1099,Greenwood Station,12,
1100,Richmond and Simcoe,75,
1101,Mt Dennis Garage,3,
1102,Finch Station,7,
1103,Bathurst and Wilson,4,
1104,Keele stn,11,
1105,Sheppard stn,17,
1106,Middlefield and Steeles,3,
1107,Driftwood and Finch,12,
1108,York Mills Station,44,
1109,Markham Road and Greencrest,10,
1110,Downsview Stn.,7,
1111,Steeles and middlefield,5,
1112,Richmond St & Duncan,141,
1113,York Mills stn to Bannatyne,15,
1114,YorkMills stn to Roywood.,10,
1115,Entire Route,10,
1116,Entire Route,10,
1117,RICHMOND/SIMCOE W/B TO JOHN,121,
1118,Spadina between Eglinton and Old Forest Hill rd,230,
1119,Morningside and Staines,4,
1120,Bayview and Steeles,8,
1121,Don Mills station to Rouge Hill GO,18,
1122,Midland Route,10,
1123,Kingston Road & Midland,12,
1124,Eglinton W. stn to Bathurst and Neptune,20,
1125,Victoria Park to Don Mills Station,9,
1126,Bayview and Eglinton / Leslie and 401,16,
1127,62 Mortimer Route,1,
1128,87 Cosburn Route,1,
1129,Finch and Sheppard,7,
1130,Martin Grove and Steeles,7,
1131,St.clair and Mt. Pleasant,180,
1132,Downsview stn,2,
1133,Downsview Stn,6,
1134,Main Station,5,
1135,Weston and Knobhill,15,
1136,Bessborough/Eglinton,10,
1137,Evans W of Royal York,14,
1138,Wb From Victoria Park to Don Mills,20,
1139,Habitant and Weston,1,
1140,Downsview stn,2,
1141,eglinton stn,9,
1142,Lawrence and Mt. Pleasant,1,
1143,Kipling Station to Col Samuel Smith Loop,15,
1144,WB From Victoria Park and Donmills,15,
1145,Kennedy Stn,51,
1146,Finch Station,12,
1147,86 Scarborough Route,18,
1148,Kennedy Stn,45,
1149,Kennedy Station,17,
1150,KENN,10,
1151,Driftwood and Stong,17,
1152,Entire Route,30,
1153,116 Morningside,15,
1154,Kipling Station to  T3,12,
1155,Kipling Station to Willowridge Rd,20,
1156,KENN,45,
1157,KENN,10,
1158,Kennedy station,35,
1159,KENN,10,
1160,Kennedy Stn,32,
1161,Castlefrank,14,
1162,43 route,20,
1163,All Locations,15,
1164,Victoria Park to Don Mills,1,
1165,KENN,45,
1166,KENN,10,
1167,Don Mills,10,
1168,Lawrence SRT,10,
1169,Brimley & Steeles,14,
1170,kennedy Stn,11,
1171,Kennedy Stn,7,
1172,Midland route,12,
1173,Don Mills/Eglinton,6,
1174,kennedy and Finch,4,
1175,Pape Statiion,4,
1176,Eglinton Stn,6,
1177,Kingston rd on Southwood Dr.,10,
1178,Bayview/Eglinton,7,
1179,Vict park/Eglinton,7,
1180,Milady and Finch,5,
1181,Gerrard and Main street,10,
1182,CRAG,18,
1183,Dufferin and King,5,
1184,Keele st / Gulliver,9,
1185,Don Mills Stn to Rouge Hill go,15,
1186,FSTN to STC,20,
1187,Kennedy Stn,11,
1188,don Mills Stn,7,
1189,Finch Station,11,
1190,Scar Town,2,
1191,FSTN,4,
1192,Atrim and Kennedy,10,
1193,Kipling station,11,
1194,STEELES,10,
1195,Cardinal newman High school,10,
1196,Brimley & Steeles,11,
1197,Don Mills Stn,12,
1198,FSTN,4,
1199,FSTN to OFIN,20,
1200,Carlaw & Commissioner,20,
1201,Finch and Baldoon,20,
1202,Kipling Ave and Penlea Av,10,
1203,Orfus,5,
1204,STC,6,
1205,Pape Stn,12,
1206,Midland Route,12,
1207,Kingston Road Route,15,
1208,Jones route,18,
1209,Woodbine stn.,9,
1210,Sheppard Settlers to Brian,15,
1211,Finch Station,11,
1212,Emmett & Eglinton,8,
1213,Bathurst and Wilson,3,
1214,Downsviwew Station,5,
1215,Kipling Station,15,
1216,139 Finch Route,15,
1217,Entire Route,7,
1218,Route 80 Queensway,1,
1219,Mimico/Lakeshore,5,
1220,Downsview Station,5,
1221,WESTON RD and LAWRENCE,11,
1222,Victoria Park Stn,15,
1223,LAWRENCE WEST STATION,11,
1224,Dufferin Station,5,
1225,Morningside & Lawrence,12,
1226,Jane stn,10,
1227,Finch Station,12,
1228,Islington stn,12,
1229,Skymark,8,
1230,Bloor and Concord,11,
1231,Finch Station,6,
1232,VICTORIA PARK STATION,14,
1233,Lawrence west station,26,
1234,HWY 191 rocket,16,
1235,VICTORIA PARK ROUTE,15,
1236,Entire route,12,
1237,Entire route,13,
1238,Finch West route,16,
1239,Eglinton station to Bombay Loop,27,
1240,Simcoe and Richmond to Bombay loop,15,
1241,Eglinton Station to QueensPark,20,
1242,Islington/Resources,19,
1243,Warden Station,22,
1244,Military Trail and Kingston Road,12,
1245,Warden Station,11,
1246,Scab Town Ctr Stn,12,
1247,Ostn Stn,5,
1248,Glenlake,9,
1249,Lawrence and Brockley,10,
1250,SRT,10,
1251,Sheppard and Consumers,6,
1252,Morningside & Nighstar,6,
1253,Steeles,22,
1254,Don Mills,17,
1255,Janne stn to Commons,1,
1256,Jane stn to all branches,1,
1257,Sheppard and Consumers,188,
1258,Steeles Ave at Keele St,11,
1259,Kipling and Queensway,15,
1260,Finch station,13,
1261,Springhurst loop,5,
1262,ROYAL YORK & QUEENSWAY,5,
1263,Sheppard Stn to Rouge Hill Go,20,
1264,Steeles,14,
1265,Bay,10,
1266,Martin street,5,
1267,Downsview Station,2,
1268,Eglinton Station,4,
1269,ELRT,5,
1270,Don Mills Stn,6,
1271,Runnymede & Bloor,11,
1272,Weston / Clouston,7,
1273,Thorncliffe Park Dr and Overlea,15,
1274,Martingrove/Eglinton,13,
1275,Queensway and Royal York,20,
1276,King,6,
1277,Scarborough Town Centre,18,
1278,199 WINDERMERE AVE,22,
1279,Midland & Midwest,48,
1280,STC,7,
1281,Kipling and Queensway,13,
1282,KEELE STATION,9,
1283,Bathurst and Tichester,10,
1284,Finch  Stn,18,
1285,Neilson and Crow Trail,8,
1286,ablion and humberline,14,
1287,Markham Rd-Milner,30,
1288,VP Station,20,
1289,Downsview Station,10,
1290,Islington / Bergamont,34,
1291,Finch Stn,24,
1292,Bay and Richmond,24,
1293,Vesta and Bathurst,10,
1294,Old Kingston Rd,20,
1295,Kennedy STN,10,
1296,Midland route,15,
1297,York Mills Station,30,
1298,STC SRT,20,
1299,yonge and gerard,4,
1300,Kennedy Station,21,
1301,Keele and McNoughton,1,
1302,Wilson Station,12,
1303,York Mills Station,15,
1304,Morningside and staines,12,
1305,Passmore,20,
1306,Davisville Stn,30,
1307,Downsview Station,15,
1308,Springhurst Loop,8,
1309,Islington and Elmhusrt,15,
1310,Kipling Statiojn,8,
1311,Broadview and Mortimer,22,
1312,Wilson Stn,6,
1313,Kipling and Finch,155,
1314,Kipling and Finch,10,
1315,Finch Station,19,
1316,Finch Station,14,
1317,Finch Ave @ Don Mills,1,
1318,Malvern Garage,7,
1319,Kipling Station,10,
1320,All locations,8,
1321,Finch and Arrow,5,
1322,Wilson Stn,5,
1323,Bayview and Steeles,24,
1324,Shtonbee and Warden,14,
1325,Kipling and Queensway Bothways,50,
1326,Markham rd. on Ellesmere,10,
1327,Parkside and Lakeshore,24,
1328,Entire Route,10,
1329,Parliament Route,10,
1330,Caledonia and Bridgeland,8,
1331,Ellesmere and Neilson,10,
1332,Scaborough Town Centre,7,
1333,Kennedy Station,20,
1334,Bathurst at Rockford,8,
1335,Finch Station,15,
1336,Entire Route,10,
1337,Yonge and sheppard,15,
1338,Finch Station,30,
1339,Springhurst Loop,5,
1340,1901 Eglinton Ave,6,
1341,24 Victoria Park Route,1,
1342,Entire Route,20,
1343,Albion and Weston,7,
1344,Lawrence RT STN,20,
1345,Kennedy Stn,10,
1346,Rt station,8,
1347,Kennedy Stn,10,
1348,Entire Route,15,
1349,Steeles & McCowan,10,
1350,Downsview Stn,8,
1351,Founders and Steeles,8,
1352,Albion and Weston,18,
1353,Alton Towers North & McCowan,10,
1354,Ellesmere to Sheppard,20,
1355,Kingston Rd route,15,
1356,Kenendy Stn,10,
1357,Bayview to Yonge,20,
1358,Sherbourne and Wellsley,7,
1359,St.Clair Station,15,
1360,63 OSSINGTON,10,
1361,Finch and Weston,5,
1362,jane at driftwood,15,
1363,6030 Bathurst St,8,
1364,Leslie station,30,
1365,Lansdwone Stn,18,
1366,STC station,6,
1367,All locations,10,
1368,EGLINTON WEST STATION,9,
1369,Sheppard Station,15,
1370,Sheppard @ Palmdale,5,
1371,Royal York Station,13,
1372,Jane/Sheppard,10,
1373,191 HWY  rocket route,20,
1374,Steeles Loop,25,
1375,Dufferin/Lawrence,3,
1376,Meadowvale Loop,5,
1377,Ellesmere and Dolly Vartin,8,
1378,87 Cosburn Route,1,
1379,Warden Station,20,
1380,Warden,11,
1381,Dundas and Shorncliffe,71,
1382,Dufferin/Dundas,4,
1383,Dufferin / Dundas,3,
1384,Islington Lake shore,18,
1385,Lawrence and College,8,
1386,OAKWOOD and ROGERS RD,5,
1387,Eglinton/Trethewey,9,
1388,Old Weston and St Clair,8,
1389,Main Station,10,
1390,Meadowvale Loop,10,
1391,Woodbine stn.,12,
1392,Midland,16,
1393,Eglinton West Stn,22,
1394,Main Station,10,
1395,Woodbine stn.,20,
1396,Warden Station,10,
1397,William St on Jane St,7,
1398,Finch and Topcliff,8,
1399,Downsview Stn,10,
1400,Dufferin / Queen,8,
1401,kipling stn,9,
1402,Main stn.,20,
1403,Main stn.,10,
1404,Thermos and Eglinton,10,
1405,Royal York stn,15,
1406,Kipling and John Garland,20,
1407,Kipling stn,20,
1408,Donmills Stn,30,
1409,Dixon and Islington,20,
1410,Eglinton and Kipling,10,
1411,Don Mills station,20,
1412,Birchmount and Eglinton,30,
1413,Finch Route and Woodbine race track,30,
1414,Danforth Ave and Warden ave,30,
1415,Village gate,15,
1416,Eglinton West stn,12,
1417,York University,20,
1418,York Mills Stn.,6,
1419,York Mills Stn.,22,
1420,lawrence west / Pine,13,
1421,Airport T3,10,
1422,Moore Park ave and Yonge,3,
1423,Kennedy stn,10,
1424,Steeles,30,
1425,Weston and Bradstock.,10,
1426,St. George Station,1,
1427,Kipling station,13,
1428,Kennedy stn,9,
1429,Steeles and Martin Grove Loop,1,
1430,downsview,22,
1431,Long Branch Loop,5,
1432,Kipling station,12,
1433,Kennedy stn,14,
1434,York Mills Stn.,23,
1435,High Park Station,8,
1436,Runnymede stn,15,
1437,Runnymede stn,1,
1438,York U Commons,10,
1439,York Mills Stn.,1,
1440,St Clair stn,20,
1441,Wilson stn,5,
1442,Broadview and Mortimer,20,
1443,All Locations,5,
1444,Yorkmills stn,30,
1445,Castlemore and Ridecrest,18,
1446,Long Branch,6,
1447,Steeles and Islington,19,
1448,Kennedy stn,7,
1449,Dundas at Shornecliffe,245,
1450,Eglinton stn,10,
1451,DOWNSVIEW STATION,1,
1452,Wellesly Stn,10,
1453,Kennedy stn,8,
1454,Avoca / Pleasant,36,
1455,Avoca / Pleasant,38,
1456,Entire Route,10,
1457,Entire Route,10,
1458,Dundas at Shornecliffe,20,
1459,Entire Route,20,
1460,Bloor / College,194,
1461,Warden Eglinton,8,
1462,Dynamic and Steeles,10,
1463,Passmore and Markham,9,
1464,Neilson and Purple Dusk,10,
1465,Keele Stn,10,
1466,Lawrence Markham rd,25,
1467,Dufferin and Samor,6,
1468,York U Commons,15,
1469,wilson Stn.,30,
1470,Colonel Sam Smith Loop,10,
1471,Warden Loop,10,
1472,VP STN,8,
1473,Kennedy Station,10,
1474,Victoria park stn,17,
1475,Morningside and Finch,10,
1476,Eglinton stn,24,
1477,Warden Station,20,
1478,Freshmeadow/DonMills,6,
1479,Eglinton Stn,11,
1480,Caledonia / Eglinton,20,
1481,Keele Stn,10,
1482,Midland Eglinton,8,
1483,St.Clair at Christie`,30,
1484,Lawrence West Stn,7,
1485,Eglinton West Stn,6,
1486,Meadowvale,11,
1487,Downsview Stn,10,
1488,Warden,30,
1489,Lawrence Stn,14,
1490,Humber College,10,
1491,Main Station,15,
1492,Main Station,10,
1493,Warden Station,10,
1494,Queensway and Windermere,20,
1495,Main Station,30,
1496,Dundas 427 to East Mall,399,
1497,VP Station,8,
1498,Lawrence West Stn,14,
1499,Finch Station,8,
1500,Finch station,5,
1501,Main Station,15,
1502,main Station,10,
1503,Pape/Aldwych,1,
1504,Victoria Park Station,8,
1505,Finch and Martin Grove,10,
1506,Kennedy and St. Clair Ave,10,
1507,Meadowvale Loop,5,
1508,Davisville Station,30,
1509,Sheppard/Allen,7,
1510,Military Trail,10,
1511,Morningside and Cornation,8,
1512,jane at finch,20,
1513,Passmore and markham Rd,6,
1514,Dundas East Mall,15,
1515,Warden stn.,9,
1516,Dudas / Shorncliffe,13,
1517,Brimley-Finch,6,
1518,Huntingwood,30,
1519,Downsview Stn,10,
1520,Kingston rd Eglinton,8,
1521,Main stn.,10,
1522,Finch ave on Markham rd.,22,
1523,Sheppard loop,8,
1524,Keele Station,1,
1525,Kipling stn,1,
1526,Kipling stn,9,
1527,Morningside and Sheppard,20,
1528,lansdowne and College,20,
1529,Warden Av-Steeles,24,
1530,St. George Station,1,
1531,St. George,1,
1532,Sheppard and Neilson,11,
1533,KNRD Loop,10,
1534,Don Mills and Lawrence,150,
1535,Don Mills & Lawrence,152,
1536,St. George Station,1,
1537,Warden stn.,10,
1538,Weston and Lawrence,20,
1539,Sheppard and Dean Park,20,
1540,Lawrence stn,20,
1541,Ellesmere and Midland rd,30,
1542,Islington stn,1,
1543,Royal York stn,10,
1544,Bathurst and Finch,10,
1545,Don Mills Station,10,
1546,Eglinton Station,10,
1547,finch Stn.,10,
1548,Cummer and Mallaby,20,
1549,FSTN,10,
1550,Rosedale Station,20,
1551,FSTN,10,
1552,Eglinton stn,10,
1553,Victoria Park stn.,10,
1554,York Mills Stn.,1,
1555,Dundas West stn,12,
1556,Rouge  Hill Go Station,20,
1557,Victoria park stn.,10,
1558,Kennedy Station,15,
1559,bathurst and lawrence,15,
1560,Eglinton yard,1,
1561,Bloor Sherbourne,15,
1562,Warden and Danforth ave,10,
1563,Eglinton Garage,17,
1564,Goulding and Cactus,1,
1565,Sheppard Stn.,23,
1566,main station,12,
1567,Sherway Gardens Mall,10,
1568,Woodbine Station,13,
1569,Eglinton yard,1,
1570,queen and lansdowne,9,
1571,Sherway Gardens Mall,6,
1572,Steeles and Midland,7,
1573,Eglinton stn,14,
1574,HWLP,5,
1575,Morningview and Morningside,11,
1576,Eglinton West Stn,4,
1577,Mount Dennis Garage,15,
1578,STC,3,
1579,STC,3,
1580,Eglinton Garage,5,
1581,Steeles loop,18,
1582,main stn.,8,
1583,Wilson stn,20,
1584,Finch Station,30,
1585,Steeles Loop,15,
1586,Warden Stn,7,
1587,Kingston and Danforth,6,
1588,KENN,5,
1589,Ellesmere Stn,8,
1590,Bombay Loop,30,
1591,Kipling station,6,
1592,Eglinton stn,14,
1593,OFIN,15,
1594,Princes gate,8,
1595,Dufferin and Bloor,8,
1596,KPSN,10,
1597,Kipling at North Queen,84,
1598,Ellesmere Stn,8,
1599,York Mills stn,10,
1600,Bombay Loop,10,
1601,Sheppard Station,30,
1602,Princes gate,8,
1603,Passmore & Markham,5,
1604,St Clair Station,12,
1605,York University Commons,10,
1606,Mt. Pleasant loop,15,
1607,FSTN,5,
1608,York University Commons,8,
1609,Ossington Stn,12,
1610,ENTIRE ROUTE,15,
1611,Warden stn,4,
1612,Kipling at Finch,6,
1613,York University Commons,7,
1614,Colonel Sam Smith Loop,4,
1615,York University Commons,6,
1616,Finch stn,7,
1617,yorkmills stn,22,
1618,Springhurst,8,
1619,Passmore & Markham,13,
1620,Main stn.,20,
1621,Eglinton W. stn to Bathurst and Neptune,15,
1622,Broadview to browning ave,20,
1623,TRETHEWEY AND PLATINUM,5,
1624,Royal York Rd and Evans Ave,630,
1625,Steeles/HWY #7,10,
1626,St.clair Station,12,
1627,York Mills stn,10,
1628,Weston,5,
1629,STC,9,
1630,finch Station,1,
1631,VICTORIA PARK ROUTE,10,
1632,Eastern and Caroline Avenue,20,
1633,Eastern Avenue and Caroline Ave,8,
1634,Bayview and Eglinton and Leslie and 401,15,
1635,Avenue and St. Clair,15,
1636,Islington Station to Lakeshore Blvd W`,12,
1637,Kipling station,4,
1638,Ellemere and McCowan,6,
1639,SJAN,21,
1640,FSTN to OFIN,30,
1641,DUNDAS ST AT JEROME,10,
1642,FSTn to STC,30,
1643,Finch ..Victoria Park to Don Mills,25,
1644,Bloor at Ashbourne,16,
1645,Broadview STN,6,
1646,83 Jones Route,1,
1647,Finch Station,24,
1648,Lawrence Ave.West and Lorindale Dr.,13,
1649,Kipling station,5,
1650,Lawrence Ave.West and Westona St.,13,
1651,Bathurst station,1,
1652,Warden and Finch,31,
1653,East York Acres and Haldon Loop,10,
1654,Davisville Station,11,
1655,27 and Rexdale.,50,
1656,Scarlett & Eglinton,10,
1657,Kipling station,5,
1658,1,4,
1659,Bathurst stn,1,
1660,54-Lawrence route,12,
1661,91A Woodbine North Route,23,
1662,Kipling station,3,
1663,Kipling station,4,
1664,Downsview Stn,15,
1665,FSTN to STC,20,
1666,FSTN to OFIN,20,
1667,Downs STn to all Branches,1,
1668,Mt Dennis Division,16,
1669,Kennedy station,10,
1670,St.Clair Station,15,
1671,St.clair Station,30,
1672,U OF T,4,
1673,STC,5,
1674,Midland Route,12,
1675,Entire Route,12,
1676,kennedy Stn,11,
1677,Finch Station,15,
1678,McCowan and Sheppard,15,
1679,yorkmills at yonge,16,
1680,Jane and Alliance,10,
1681,Entire Route,11,
1682,Don Mills Station,12,
1683,Steeles and Alness,14,
1684,Downsview Station,4,
1685,Brimley Route,10,
1686,Graydon Hall,35,
1687,Kingston Road Route,13,
1688,graydon Hall route,40,
1689,St.Andrews route,30,
1690,Ellesmere & Miltary,10,
1691,YOCE,2,
1692,Don Mills stn,3,
1693,Midland and McNicoll,8,
1694,MARINE PARADE AND LAKESHORE,25,
1695,Finch Stn,13,
1696,Kennedy Stn,11,
1697,Jane,10,
1698,Emmett & Eglinton,8,
1699,Oakwood and Rogers,11,
1700,Caledonia and St.Clair,14,
1701,Dufferin and Finch,3,
1702,Eglinton stn to QueensPark,14,
1703,Entire Route,10,
1704,Downsview Station,5,
1705,Kerele and Steeles,22,
1706,Castle Frank Station,9,
1707,Eglinton Yard,1,
1708,Lawrence and Weston,5,
1709,Downsview Stn,22,
1710,yonge on wilson,28,
1711,Finch Station,7,
1712,eglinton west station,10,
1713,Lawrence RT,10,
1714,Eglinton West station,8,
1715,Lawrence west stn,11,
1716,Wanless and Yonge St,30,
1717,York U Commons,2,
1718,Davenport and Dupont,10,
1719,Cheeswood,10,
1720,Pape Stn,12,
1721,Finch and Don Mills,23,
1722,Don Mills to Neilson/Crow Trail,10,
1723,Downsview Stn,3,
1724,Queen and Lansdwone,13,
1725,Ellesemere @ Neilson,14,
1726,Overlea & Thorncliffe,128,
1727,Lawrence RT,13,
1728,87 Cosburn Route,1,
1729,major Mac/Hazelton Ave,30,
1730,Bathusrt,18,
1731,Parliament and Dundas,10,
1732,Springhurst loop,5,
1733,Don Mills statin,3,
1734,McCowan and Finch Ave,6,
1735,Eglinton and Scarlett,12,
1736,Greenfield and Yonge St,1,
1737,Finch Station,1,
1738,Steeles Ave and Dufferin,11,
1739,Bayview,16,
1740,Steeles and Old Kennedy,15,
1741,Bathurst at Finch,21,
1742,Springhurst loop,5,
1743,Shoreham/Jane,15,
1744,Shoreham/Jane,13,
1745,Bathurst station,7,
1746,Exbury/Jane,15,
1747,Kennedy Stn,10,
1748,Progress & Kennedy,18,
1749,Sheppard,15,
1750,Lawrence and Midland,13,
1751,Athol and Islington,5,
1752,Bathurst at Lawrence,7,
1753,Oakwood and Jesmond,1,
1754,Martin Grove & Eglington,12,
1755,NECR,16,
1756,Eglinton and Don mIlls,5,
1757,Bathurst at Wilson,9,
1758,Broadview - Hillside Dr,8,
1759,Black Creek & Eglinton,9,
1760,Wilson Station,6,
1761,Bellamy and Ellesmere,15,
1762,Royal York/Portland,158,
1763,Swanwick Ave on Victoria Park,20,
1764,Downsview Station,4,
1765,Humberwood Loop,7,
1766,Markham and Passmore,9,
1767,Finch Station,7,
1768,Woodbine & O'Connor,10,
1769,Mondeo Drive and  Ellesmere,10,
1770,Young St. & Finch Ave,9,
1771,Coxwell & Danforth,10,
1772,Finch Station,10,
1773,Markham and Greencrest,140,
1774,Finch Stn.,10,
1775,Bathurst & Sheppard,10,
1776,Kennedy & Bonis,10,
1777,Pape Station,30,
1778,Bathurst station,20,
1779,Steeles ave( mountcastle gate),8,
1780,Warden Station,21,
1781,Ferris rd. and Dawes rd.,8,
1782,YEGL,8,
1783,FSTN,15,
1784,castlefrank stn.,7,
1785,Dundas and keele,12,
1786,SKYMARK,5,
1787,Islington Station,10,
1788,Pape stn,3,
1789,Kingston Rd Loop,7,
1790,KENN,8,
1791,Kipling station,14,
1792,EGGA,1,
1793,U of T loop,10,
1794,EGLINTON STN,5,
1795,JSTE,5,
1796,MSNS,7,
1797,Isling ton Station,20,
1798,Mt Dennis,4,
1799,Bridalwalk & Major Mac,13,
1800,keele and eglinton,6,
1801,GIJA,27,
1802,"St. Clair W, stn",4,
1803,Mt dennis,18,
1804,Northcliffe and Eglinton,8,
1805,KENN,5,
1806,Roywood,12,
1807,Dundas W. Stn,4,
1808,Eglinton West Stn,4,
1809,McNicholl and Victoria Park,9,
1810,Weston / Albion,5,
1811,Eglinton Yard,1,
1812,Steeles and Midland,7,
1813,MGRC,5,
1814,Warden Stn,9,
1815,Princess gates,8,
1816,Finch Station,11,
1817,NECR,5,
1818,eglinton West Stn.,4,
1819,Entire Prince Edward Route,20,
1820,Eglinton W. Stn to Bathurst and Neptune,15,
1821,York Mills Stn.,6,
1822,Queen and lansdowne,9,
1823,Marlee from Eglinton to Roselawn,36,
1824,Bathurst and Davenport,18,
1825,St Clair West,30,
1826,General Delay,12,
1827,Cougar Crt and Markham,20,
1828,High Park Station,20,
1829,JNST,5,
1830,Wilson stn,1,
1831,Queens Quay and Lower Jarvis,6,
1832,Keele Stn,3,
1833,JNST,10,
1834,Kipling station,11,
1835,Donlands Station,17,
1836,Entire Royal York South Route,12,
1837,Entire Symington Route,20,
1838,87 Cosburn Route,1,
1839,Wayside and Finch,3,
1840,STC,3,
1841,Bay and King,18,
1842,Leslie and 401,17,
1843,Kipling and Genthorn,7,
1844,STC to FSTN,20,
1845,FSTN to OFIN,20,
1846,McNicoll Ave and Donmills Rd,6,
1847,explorer and skymark,5,
1848,Royal York at Evans,28,
1849,Victoria Park Station,10,
1850,Lawrence Moringside,13,
1851,83 Jones Route,1,
1852,Finch Station,24,
1853,York U Commons,2,
1854,Donmills Rd and Finch Ave,6,
1855,Downsview Stn,2,
1856,Northover and Sheppard,30,
1857,Finch Station,24,
1858,Springhurst loop,4,
1859,Wilson Stn.,15,
1860,Jesmond and Oakwood,8,
1861,Downsview Stn,20,
1862,Jane and Driftwood,18,
1863,Jane and Driftwood,18,
1864,Lawrence West Station,28,
1865,McCowan and Steeles,5,
1866,Valleywoods,23,
1867,LAWRENCE W and JANE,13,
1868,Finch Ave and Don Mills Rd,6,
1869,Brimorton and Orton Park,12,
1870,GREENWOOD /TORBRICK,12,
1871,York Mills and Laureentide Dr,15,
1872,Bathurst Route,30,
1873,Downsview Stn to all branches,1,
1874,York Mills Station,30,
1875,Don Mills Stn,7,
1876,Finch Station,4,
1877,U of T loop,11,
1878,Scar Town,2,
1879,pine,12,
1880,Midland Route,15,
1881,Kingston Road Route,15,
1882,Finch Station,4,
1883,Sheppard and Markham Rd,15,
1884,Finch Station,4,
1885,Shepaprd and Birchmount,15,
1886,Wilson Stn,15,
1887,Kennedy Stn,1,
1888,Wilson station,1,
1889,Scarborough Town Centre,4,
1890,STC,13,
1891,wilson Station,1,
1892,Main Station,12,
1893,VP Station,7,
1894,VP Station,12,
1895,,10,
1896,,11,
1897,Scarb Town Stn,10,
1898,Kennedy Stn,10,
1899,Midland & Steeles,8,
1900,Woodbine Downs & Carrier Drive,19,
1901,STC,10,
1902,Morn old finch,12,
1903,Scarb Town Stn,5,
1904,Kennedy Loop,12,
1905,College,5,
1906,Scarborough town Centre,4,
1907,Main Stn,8,
1908,Warden Stn,3,
1909,Scarb Town Stn,5,
1910,Entire Route,20,
1911,Kipling Stn,11,
1912,St. Clair,5,
1913,VP ROUTE,15,
1914,Brimley route,15,
